Time128Hz,Epoch,AF3,F7,F3,F5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,EventId,ID_Chunk
14.2734375,57.0,1.0765638721998556,-4.882633193131625,3.275726149446868,-2.3880237221205647,-0.030613507563430176,3.1016459773983627,2.2289106024391003,-6.286943332247631,-0.6603491502595915,2.7989706331310487,2.370088241059946,6.790609584238908,2.6742313260295134,-0.8388426542401817,33025,7.0
14.28125,57.0,4.70903938254007,-1.9848841979796248,8.415390934610699,-1.549557349007145,2.21907418630704,7.46916057195989,9.79748044922826,5.102994166245992,3.8624454139492883,5.8752955326757785,1.6554742943369547,0.2646926423875158,4.048465844291556,6.254283115267086,33025,7.0
14.2890625,57.0,7.561897496067942,3.5573227840859687,8.527924085982079,3.0108849436527407,1.7256268127163565,4.970308675187681,11.357065495029318,11.88101188490944,9.010470730962766,8.05048438130882,4.026060645437823,-5.572171425289312,4.770215556702652,11.580609812729023,33025,7.0
14.296875,57.0,6.001814507106047,4.791720309515398,3.098768645045098,7.481180335380614,-0.5323180736564552,-0.5848400621660375,4.894590784008855,7.4734691579065355,8.491438157599546,6.986647040721792,5.706449654837712,-4.757123034814654,4.8206457215026575,9.500471789935261,33025,7.0
14.3046875,57.0,3.6102021498580825,4.15103486275207,-0.8443213776388063,8.9981299001943,1.5510446800874576,-0.19414427492520758,0.04110357069473025,3.6457644276925976,6.012481376453067,5.088652865831122,4.364894284981489,-0.4804346436596916,6.309843891432919,5.203870032043255,33025,8.0
14.3125,57.0,4.744127314770196,7.437520774985828,2.32155610622209,8.776632156744114,9.162988921617057,7.9240728219152885,4.236322949576731,8.41125526214725,6.6146288019606345,5.525430939925556,3.397091447790203,2.4943822998435508,8.566733388542005,6.0673120103872975,33025,8.0
14.3203125,57.0,6.63854624794115,11.833633481207315,8.569604634465833,8.553309366993247,14.181693475924263,14.585066691358946,10.564868193583138,11.913759468040638,6.596108650835248,6.28576144137871,4.994069770178342,5.111025154651173,7.462157611083541,8.966490654632892,33025,8.0
14.328125,57.0,4.021101313474219,9.33562787245799,8.974376773179188,7.1981583342490865,9.60287754040425,11.316206591073666,8.942032614306811,5.383033639427865,1.9967822960314834,3.922042938813817,5.656576339298155,9.826037960514668,3.1052235590988886,5.4429160269262695,33025,8.0
14.3359375,57.0,-1.7709792156217787,0.769818403954531,1.8299453159076933,3.2521728779760934,0.3671605080334217,0.6849889531401914,0.876749410552776,-2.7019834547021446,-1.3292508842353925,0.32359474090650053,3.229863670717691,13.309248019397288,0.03437664443241317,-3.3501607165564593,33025,9.0
14.34375,57.0,-4.145659546660482,-3.7394324361394524,-4.302910892884668,-0.5866412008191446,-3.162602544885587,-8.67045064030306,-5.596277656214681,-2.815186691572336,1.1676434811858627,-0.7082319331018994,0.5928644046234837,8.814794887317092,-1.1284229661714136,-7.6924046798811645,33025,9.0
