,AF3,F7,F3,F5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
77,4107.0512695313,4103.4614257813,4099.7436523438,4109.4873046875,4097.0512695313,4095.0,4067.8205566406,4108.0771484375,4111.6665039063,4093.0769042969,4089.8718261719,4127.0512695313,4107.3076171875,4107.1796875
78,4108.8461914063,4108.9741210938,4094.1025390625,4106.0258789063,4090.6411132813,4094.7436523438,4066.794921875,4095.8974609375,4104.7436523438,4085.7692871094,4081.6667480469,4126.41015625,4102.0512695313,4107.1796875
79,4112.8203125,4104.8715820313,4098.0771484375,4106.0258789063,4087.5642089844,4091.6667480469,4065.0,4087.4357910156,4090.6411132813,4075.7692871094,4073.205078125,4120.384765625,4094.2307128906,4106.6665039063
80,4110.5126953125,4101.794921875,4097.9487304688,4106.2822265625,4087.5642089844,4091.0256347656,4060.6411132813,4093.205078125,4088.9743652344,4074.1025390625,4073.3332519531,4119.615234375,4092.5642089844,4106.0258789063
81,4107.4360351563,4099.7436523438,4094.3588867188,4101.1538085938,4083.3332519531,4092.5642089844,4057.4357910156,4092.5642089844,4092.8205566406,4075.7692871094,4078.0769042969,4121.794921875,4094.4870605469,4106.41015625
82,4103.4614257813,4093.58984375,4092.9487304688,4094.1025390625,4079.2307128906,4089.2307128906,4058.4614257813,4080.7692871094,4087.8205566406,4074.2307128906,4071.9230957031,4119.2309570313,4092.6923828125,4099.3588867188
83,4099.7436523438,4090.5129394531,4091.2819824219,4091.6667480469,4077.1794433594,4085.8974609375,4059.8718261719,4082.1794433594,4087.4357910156,4074.3588867188,4058.58984375,4119.3588867188,4087.5642089844,4088.8461914063
84,4102.3076171875,4091.41015625,4094.7436523438,4095.1281738281,4078.205078125,4089.1025390625,4058.205078125,4087.9487304688,4091.41015625,4073.9743652344,4058.205078125,4122.0512695313,4089.1025390625,4093.8461914063
85,4102.4360351563,4092.5642089844,4097.5639648438,4097.4360351563,4077.9487304688,4084.8718261719,4051.41015625,4078.205078125,4083.58984375,4073.205078125,4074.3588867188,4122.1796875,4096.794921875,4105.2563476563
86,4101.0258789063,4091.2819824219,4096.2822265625,4094.8718261719,4072.8205566406,4072.5642089844,4044.8718261719,4075.5129394531,4081.794921875,4080.7692871094,4090.5129394531,4124.3588867188,4107.6923828125,4106.5385742188
87,4101.9228515625,4086.5385742188,4093.205078125,4091.1538085938,4072.6923828125,4075.1281738281,4048.58984375,4089.3588867188,4096.794921875,4089.4870605469,4100.5126953125,4128.9741210938,4118.4614257813,4106.0258789063
88,4101.2822265625,4082.5642089844,4091.6667480469,4086.5385742188,4078.3332519531,4089.2307128906,4060.0,4096.5385742188,4106.9228515625,4096.794921875,4113.9741210938,4136.1538085938,4123.205078125,4113.4614257813
89,4100.384765625,4079.3588867188,4091.794921875,4078.9743652344,4078.9743652344,4093.7180175781,4066.6667480469,4098.4614257813,4109.1025390625,4104.3588867188,4129.615234375,4141.794921875,4126.9228515625,4119.4873046875
90,4101.794921875,4076.0256347656,4088.7180175781,4072.0512695313,4079.6154785156,4090.6411132813,4065.7692871094,4112.5639648438,4118.3334960938,4112.5639648438,4148.58984375,4147.5639648438,4140.5126953125,4124.2309570313
